File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\App.g.i.cs,83,51,34,1,14,0,18,50,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,66,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,66,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\MainWindow.g.cs,2144,1545,581,2,584,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\MainWindow.g.i.cs,2144,1545,581,2,584,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\WLoading.g.cs,953,687,270,2,251,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\WLoading.g.i.cs,953,687,270,2,251,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\App.g.cs,83,51,34,1,14,0,18,50,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\App.g.i.cs,83,51,34,1,14,0,18,50,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,66,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,66,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\MainWindow.g.cs,2119,1521,564,2,583,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\MainWindow.g.i.cs,2119,1521,564,2,583,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\WLoading.g.cs,953,687,270,2,251,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Release\WLoading.g.i.cs,953,687,270,2,251,0,15,42,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\Properties\AssemblyInfo.cs,56,20,5,0,9,2,27,206,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\Properties\Resources.Designer.cs,63,32,16,3,9,1,22,119,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
D:\work\Final Project\AI Algorithm Simulator\TestProject\UnitTest1.cs,28,18,10,0,3,0,7,49,0,0
D:\work\Final Project\AI Algorithm Simulator\TestProject\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
